"","IFNy"
"1DTY",0
"1QBP",418.16386552131
"1OMQ",55.7111443601887
"1HIX",5.98241051193776
"1UZT",0
"1OML",0
"1KPZ",9.66051527901237
"1XYE",4.13819916601462
"1UWS",30.485418441852
"1SWK",0
"1JJH",279.469531063768
"1WMM",32.2327917769469
"1NMF",0
"1NLI",358.176806629095
"1MNQ",4.36514075299633
"1MVU",0
"1TVC",9.43847432786819
"1SVZ",56.5111209540886
"1SRE",80.4295390011543
"1EEZ",71.3900469383783
"1DAL",0
"1REI",0
"1TSY",151.407143554934
"1SQC",321.541739344466
"1YNS",25.462660533914
"1NYG",0
"1TOW",0
"1ZTI",264.311509594916
"1JGV",0
"1ZQY",247.193279749165
"1PLG",0
"1LKM",6.98327857111737
"1DWO",0
"1RJA",0
"1MAO",27.6659262643578
"1JIX",1.24873507110156
"1FJS",0
"1DJM",296.844493959083
"1DUN",26.2777560019632
"1KUB",2.22008692606002
